OrderNumber,OrderLineItem,DateKey,OrderDate,StockDate,ProductKey,CustomerKey,TerritoryKey,OrderQuantity,ProductPrice,ProductCost,Revenue,TotalCost,Profit
SO45173,1,20150117,2015-01-17,2001-10-30,314,29157,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45175,1,20150117,2015-01-17,2001-10-23,313,29238,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45180,1,20150118,2015-01-18,2001-11-30,311,15046,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45184,1,20150118,2015-01-18,2001-10-01,320,25717,9,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45183,1,20150118,2015-01-18,2002-01-01,334,25711,9,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45181,1,20150118,2015-01-18,2001-10-25,310,14929,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45185,1,20150118,2015-01-18,2001-12-11,310,14949,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45182,1,20150118,2015-01-18,2001-10-25,312,18769,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45186,1,20150119,2015-01-19,2001-11-17,313,14991,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45191,1,20150119,2015-01-19,2001-10-06,328,14660,1,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45187,1,20150119,2015-01-19,2001-10-18,310,15047,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45188,1,20150119,2015-01-19,2001-11-15,311,14861,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45190,1,20150119,2015-01-19,2001-12-08,313,18931,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45189,1,20150119,2015-01-19,2001-12-03,310,29145,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45196,1,20150120,2015-01-20,2001-11-22,311,18739,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45195,1,20150120,2015-01-20,2001-11-02,313,18929,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45193,1,20150120,2015-01-20,2001-10-04,310,22889,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45194,1,20150120,2015-01-20,2001-11-21,313,29221,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45192,1,20150120,2015-01-20,2002-01-05,314,14846,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45197,1,20150120,2015-01-20,2001-10-03,314,18902,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45201,1,20150121,2015-01-21,2001-11-22,312,29168,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45199,1,20150121,2015-01-21,2001-12-19,346,29476,8,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45200,1,20150121,2015-01-21,2002-01-05,311,29148,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45204,1,20150121,2015-01-21,2001-11-17,345,11460,9,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45203,1,20150121,2015-01-21,2001-12-14,314,18907,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45202,1,20150121,2015-01-21,2001-10-12,314,19094,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45198,1,20150121,2015-01-21,2001-09-28,313,14847,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45213,1,20150122,2015-01-22,2001-12-10,349,11464,9,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45207,1,20150122,2015-01-22,2001-11-22,312,29156,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45211,1,20150122,2015-01-22,2001-10-01,311,18724,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45212,1,20150122,2015-01-22,2001-10-28,314,18729,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45208,1,20150122,2015-01-22,2001-10-07,344,19884,6,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45209,1,20150122,2015-01-22,2002-01-06,314,29201,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45210,1,20150122,2015-01-22,2001-10-11,311,29239,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45206,1,20150122,2015-01-22,2002-01-06,313,12474,7,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45205,1,20150122,2015-01-22,2001-12-25,344,28420,7,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45215,1,20150123,2015-01-23,2001-11-11,312,29208,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45214,1,20150123,2015-01-23,2001-10-06,310,12464,7,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45216,1,20150123,2015-01-23,2001-10-14,313,29261,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45217,1,20150124,2015-01-24,2001-11-01,314,29144,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45219,1,20150124,2015-01-24,2001-10-14,313,22893,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45222,1,20150124,2015-01-24,2001-10-22,330,14728,1,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45221,1,20150124,2015-01-24,2001-10-24,314,22903,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45220,1,20150124,2015-01-24,2001-12-04,312,29207,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45223,1,20150124,2015-01-24,2001-12-18,312,18930,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45224,1,20150124,2015-01-24,2001-10-23,311,18723,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45218,1,20150124,2015-01-24,2001-11-20,345,25982,1,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45228,1,20150125,2015-01-25,2001-11-25,314,18768,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45226,1,20150125,2015-01-25,2001-10-08,342,14662,4,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45225,1,20150125,2015-01-25,2001-11-20,338,14653,4,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45227,1,20150125,2015-01-25,2001-12-11,322,14726,1,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45232,1,20150126,2015-01-26,2001-11-21,310,18736,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45233,1,20150126,2015-01-26,2001-12-13,344,11472,9,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45231,1,20150126,2015-01-26,2001-11-30,314,18908,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45229,1,20150126,2015-01-26,2001-11-09,349,11387,10,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45236,1,20150127,2015-01-27,2001-11-24,312,18731,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45234,1,20150127,2015-01-27,2001-12-14,328,18009,7,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45235,1,20150127,2015-01-27,2001-11-27,314,29147,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45237,1,20150127,2015-01-27,2002-01-11,314,18737,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45238,1,20150127,2015-01-27,2001-11-15,346,11459,9,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45242,1,20150128,2015-01-28,2001-11-15,311,29223,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45240,1,20150128,2015-01-28,2001-12-11,310,29155,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45241,1,20150128,2015-01-28,2001-12-25,311,29203,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45244,1,20150128,2015-01-28,2001-11-16,350,11756,9,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45243,1,20150128,2015-01-28,2001-12-25,334,25715,9,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45245,1,20150129,2015-01-29,2001-11-24,310,18928,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45246,1,20150129,2015-01-29,2001-11-03,310,18709,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45247,1,20150129,2015-01-29,2001-12-30,334,25716,9,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45248,1,20150129,2015-01-29,2002-01-07,344,11451,9,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45254,1,20150130,2015-01-30,2001-10-19,314,29252,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45258,1,20150130,2015-01-30,2001-12-14,340,25712,9,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45253,1,20150130,2015-01-30,2001-12-16,314,29237,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45256,1,20150130,2015-01-30,2001-10-22,336,14664,4,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45255,1,20150130,2015-01-30,2001-10-16,314,29258,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45250,1,20150130,2015-01-30,2001-11-05,310,14147,8,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45251,1,20150130,2015-01-30,2001-11-08,334,19422,8,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45249,1,20150130,2015-01-30,2002-01-04,310,14928,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45257,1,20150130,2015-01-30,2002-01-15,314,18718,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45252,1,20150130,2015-01-30,2001-11-15,312,22877,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45262,1,20150131,2015-01-31,2001-11-30,313,29265,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45259,1,20150131,2015-01-31,2001-10-15,314,29225,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45264,1,20150131,2015-01-31,2001-10-18,349,11454,9,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45261,1,20150131,2015-01-31,2001-12-10,312,29175,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45263,1,20150131,2015-01-31,2001-10-05,340,14722,1,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45265,1,20150131,2015-01-31,2001-10-08,350,11461,9,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45260,1,20150131,2015-01-31,2001-10-05,310,29150,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45345,1,20150201,2015-02-01,2001-11-16,313,15048,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45349,1,20150201,2015-02-01,2001-12-07,312,19568,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45347,1,20150201,2015-02-01,2001-11-19,342,14733,4,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45348,1,20150201,2015-02-01,2001-12-06,311,19562,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45350,1,20150201,2015-02-01,2002-01-10,311,19613,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45354,1,20150202,2015-02-02,2001-12-31,340,19432,8,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45352,1,20150202,2015-02-02,2002-01-02,313,15081,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45356,1,20150202,2015-02-02,2002-01-01,313,19096,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45353,1,20150202,2015-02-02,2001-10-28,310,28630,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45355,1,20150202,2015-02-02,2002-01-07,312,28778,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45351,1,20150202,2015-02-02,2001-12-14,313,12520,7,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45358,1,20150203,2015-02-03,2002-01-09,312,23172,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45357,1,20150203,2015-02-03,2001-12-01,351,28443,7,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45361,1,20150203,2015-02-03,2001-11-23,312,23057,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45360,1,20150203,2015-02-03,2001-11-07,313,28036,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45362,1,20150203,2015-02-03,2001-11-25,313,19271,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45359,1,20150203,2015-02-03,2001-12-21,313,11227,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45363,1,20150203,2015-02-03,2001-12-15,312,19565,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45364,1,20150204,2015-02-04,2001-11-17,311,14161,8,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45366,1,20150204,2015-02-04,2001-11-11,330,18011,7,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45365,1,20150204,2015-02-04,2001-12-13,313,15078,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45369,1,20150204,2015-02-04,2001-12-31,314,19269,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45370,1,20150204,2015-02-04,2001-12-23,312,19270,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45368,1,20150204,2015-02-04,2001-11-06,328,14732,1,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45367,1,20150204,2015-02-04,2001-10-10,328,20561,10,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45375,1,20150205,2015-02-05,2002-01-08,313,19596,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45376,1,20150205,2015-02-05,2001-12-16,344,11761,9,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45371,1,20150205,2015-02-05,2001-11-18,310,15062,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45372,1,20150205,2015-02-05,2001-11-28,348,28449,7,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45374,1,20150205,2015-02-05,2001-10-30,312,22996,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45373,1,20150205,2015-02-05,2001-10-24,349,25994,1,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
